locationName,occupantPartyName,occupantPartyId,statesTheyCompeteIn,occupantType
TAMINCO US (MOBILE),KOCH METHANOL LLC,0017000000yIUw1,AL|FL|OH|PA|MS|QC|BC|WI|CO|GA|ON|OR|AZ|NJ|MA|CT|UT|SC|MI|TN|CA,Koch
TRANSFLO (JACKSONVILLE),KOCH METHANOL LLC,0017000000yIUw1,FL|GA|NC|SC|AL|OK|TX|TN|CO|OH,Koch
Colonial Terminal - Savannah,KOCH METHANOL LLC,0017000000yIUw1,GA|FL,Koch
MANLY TERMINAL (MANLY),KOCH METHANOL LLC,0017000000yIUw1,IA|MN|NE|MO|SD|WA|IL|ID|WI|SK|MI|IN|OR|MB|TX|LA|MT|NY|KS|WY|ND|UT|VA|OH|MD|VT|PA,Koch
HARCROS CHEMICALS (KANSAS CITY),KOCH METHANOL LLC,0017000000yIUw1,KS|CO|NE|TX|OK|MS|SK|MO|ON|IA|AZ|QC|WY|MB|NB|MN|MT|IL|WA|NM|ND|ID|SD|AB|UT|NY|PA|AR|CA,Koch
IMTT - Terminal,KOCH METHANOL LLC,0017000000yIUw1,LA|TX|IL|TN|MO|AR|AL|MS|WV|OH|KY|MN|OK|KS|FL|WI|IA|IN|NC|MI|AB|PA|GA|VA|ND|SK|CO|SC|MB|NY|NE|UT|NM|MD|NV|NJ|MA|WA|VT|ME|CA,Koch
Praxair - Geismar,KOCH METHANOL LLC,0017000000yIUw1,LA|TX|IL|TN|MO|AR|AL|MS|WV|OH|KY|MN|OK|KS|FL|WI|IA|IN|NC|MI|AB|PA|GA|VA|ND|SK|CO|SC|MB|NY|NE|UT|NM|MD|NV|NJ|MA|WA|VT|ME|CA,Koch
KOCH METHANOL (ST JAMES),KOCH METHANOL LLC,0017000000yIUw1,LA|TX|IL|TN|MO|AR|AL|MS|WV|OH|KY|MN|OK|KS|FL|WI|IA|IN|NC|MI|AB|PA|GA|VA|ND|SK|CO|SC|MB|NY|NE|UT|NM|MD|NV|NJ|MA|WA|VT|ME|CA,Koch
DFI INC (KANSAS CITY),KOCH METHANOL LLC,0017000000yIUw1,MO|MB|ND|SK|ID|SD|MI|IL|NE|MT|IA|CA|AB|WY|OR|OH|WA|UT|MN|TN|WI|AZ|IN|KS|OK,Koch
CHEMSERVE (WILMINGTON),KOCH METHANOL LLC,0017000000yIUw1,NC|MI|SC|AL|OH|VA|NY|PA|QC|TN|MD|GA|AR|MA|FL|VT|ME|WI|DE|IN|KY|OR|LA|CT|MS,Koch
TRANSFLO (COLUMBUS),KOCH METHANOL LLC,0017000000yIUw1,OH|PA|FL|MA|VA|IN|KS|ON|NC|MI|IL|NY|CA|TX|OK|NJ|TN|MD|KY|OR|CO|WI|MN|SC|WV|QC|BC|AB|GA|MO|UT|NE,Koch
JAGUAR TRANSPORT (EL RENO),KOCH METHANOL LLC,0017000000yIUw1,OK|KS|TX|NE|MO|ND|SD|SK|ID|CA|MT|MN|WY|AZ|UT|NM|CO|WA|IA|TN|OR|IL|MB|NY|WI|KY|AR|IN|PA|MI|AB|WV|MD|LA|VA|NB|ON|FL|OH|MS|PQ|ME|GA|AK|AL,Koch
PT RAILROAD (PORTLAND),KOCH METHANOL LLC,0017000000yIUw1,OR|WA|CA|ID|UT|MT|ND|NE,Koch
Dow Silicones Corporation - Elgin,KOCH METHANOL LLC,0017000000yIUw1,OH|MI|IL|FL|MA|PA|WV|NC|TN|MS|AL|MN,Koch
Kinder Morgan Terminal - Charleston,KOCH METHANOL LLC,0017000000yIUw1,OH|MI|IL|FL|MA|PA|WV|NC|TN|MS|AL|MN,Koch
ITC (DEER PARK),KOCH METHANOL LLC,0017000000yIUw1,TX|MS|LA|AR|IA|OH|IL|MB|MI|MO|OK|TN|CO|WV|SD|AZ|KS|UT|NC|CA|WI|NV|PA|IN|WY|NE|NY|MN|AL|FL|AK,Koch
Millenium Terminal - La Porte,KOCH METHANOL LLC,0017000000yIUw1,TX|MS|LA|AR|IA|OH|IL|MB|MI|MO|OK|TN|CO|WV|SD|AZ|KS|UT|NC|CA|WI|NV|PA|IN|WY|NE|NY|MN|AL|FL|AK,Koch
Norfolk - Kinder Morgan Terminal,KOCH METHANOL LLC,0017000000yIUw1,NC|VA|DC|MD|GA|KY|PA|IL,Koch
