Pipeline,Rate Definition ID,Rate Schedule,Provider Charge Type,Charge Unit,Start Date,End Date,Rate Category,Season,Rec Loc Type,Rec Loc ID,Del Loc Type,Del Loc ID,Rate Type,Rate Unit,Charge Indicator,Rate
GLGT,136596,FT,UTIL,Amount,4/1/2023,4/1/2024,TR,,Zone,CENTRAL,Zone,EASTERN,Fixed,,Delivery,0.00666
GLGT,136602,FT,UTIL,Amount,4/1/2023,4/1/2024,TR,,Zone,WESTERN,Zone,EASTERN,Fixed,,Delivery,0.00954
GLGT,136601,FT,UTIL,Amount,4/1/2023,4/1/2024,TR,,Zone,WESTERN,Zone,CENTRAL,Fixed,,Delivery,0.00544
GLGT,136603,FT,UTIL,Amount,4/1/2023,4/1/2024,TR,,Zone,WESTERN,Zone,WESTERN,Fixed,,Delivery,0.00288
GLGT,136595,FT,UTIL,Amount,4/1/2023,4/1/2024,TR,,Zone,CENTRAL,Zone,CENTRAL,Fixed,,Delivery,0.00256
GLGT,136598,FT,UTIL,Amount,4/1/2023,4/1/2024,TR,,Zone,EASTERN,Zone,CENTRAL,Fixed,,Delivery,0.00666
GLGT,136597,FT,UTIL,Amount,4/1/2023,4/1/2024,TR,,Zone,CENTRAL,Zone,WESTERN,Fixed,,Delivery,0.00544
GLGT,136600,FT,UTIL,Amount,4/1/2023,4/1/2024,TR,,Zone,EASTERN,Zone,WESTERN,Fixed,,Delivery,0.00954
GLGT,136599,FT,UTIL,Amount,4/1/2023,4/1/2024,TR,,Zone,EASTERN,Zone,EASTERN,Fixed,,Delivery,0.0041
GLGT,157546,FT,UTIL,Amount,11/1/2023,,TD,,Zone,WESTERN,Location,SAULT STE MARIE TCPL,Fixed,,Delivery,0.00544
GLGT,160038,FT,UTIL,Amount,12/1/2023,,TD,,Zone,WESTERN,Location,SAULT STE MARIE TCPL,Fixed,,Delivery,0.00544
GLGT,160039,FT,UTIL,Amount,12/1/2023,,TD,,Zone,CENTRAL,Location,SAULT STE MARIE TCPL,Fixed,,Delivery,0.00666
GLGT,172353,IT,UTIL,Amount,4/1/2024,,TR,,Zone,EASTERN,Zone,CENTRAL,Fixed,,Delivery,0.14675
GLGT,172354,IT,UTIL,Amount,4/1/2024,,TR,,Zone,EASTERN,Zone,EASTERN,Fixed,,Delivery,0.10115
GLGT,172358,IT,UTIL,Amount,4/1/2024,,TR,,Zone,WESTERN,Zone,WESTERN,Fixed,,Delivery,0.06755
GLGT,172356,IT,UTIL,Amount,4/1/2024,,TR,,Zone,WESTERN,Zone,CENTRAL,Fixed,,Delivery,0.11314
GLGT,172350,IT,UTIL,Amount,4/1/2024,,TR,,Zone,CENTRAL,Zone,CENTRAL,Fixed,,Delivery,0.05812
GLGT,172351,IT,UTIL,Amount,4/1/2024,,TR,,Zone,CENTRAL,Zone,EASTERN,Fixed,,Delivery,0.14675
GLGT,172352,IT,UTIL,Amount,4/1/2024,,TR,,Zone,CENTRAL,Zone,WESTERN,Fixed,,Delivery,0.11314
GLGT,172355,IT,UTIL,Amount,4/1/2024,,TR,,Zone,EASTERN,Zone,WESTERN,Fixed,,Delivery,0.20177
GLGT,172357,IT,UTIL,Amount,4/1/2024,,TR,,Zone,WESTERN,Zone,EASTERN,Fixed,,Delivery,0.20177
