oldVendorModel,newVendorModel
CD-IU201N,CD-IU201N
PB-2016,PB-2017
CD-RGB150E,CD-RGB150E
SD-AWC01,SD-AWC02
GM-DX871,GM-DX871
GM-DX874,GM-DX874
GM-DX971,GM-DX971
GM-D1004,GM-D1005
PI-11,PI-11
PI-16001,PI-16001
PI-16002,PI-16002
PI-20034,PI-20034
PI-2006UP,PI-2006UP
PI-DVD16,PI-DVD16
PI-DVD47,PI-DVD47
PI-DVD22,PI-DVD22
DE-HS4220BT,DEH-S4220BT
DE-HS6220BS,DEH-S6220BS
FH-S722BS,FHS-722BS
MV-HS322BT,MVH-S322BT
SP-H10BT,SPH-10BT
MV-HS522BS,MVH-S522BS
VR-ECDZ700DC,VRE-CDZ700DC
SD-ABS100,SDA-BS100
SD-ABS900,SDA-BS900
DM-H1770NEX,DMH-1770NEX
DM-H241EX,DMH-241EX
AV-H241EX,AVH-241EX
DM-HW2770NEX,DMH-W2770NEX
AV-ICW6600NEX,AVIC-W6600NEX
DM-HWT8600NEX,DMH-WT8600NEX
AV-H3500NEX,AVH-3500NEX
DM-HWC5700NEX,DMH-WC5700NEX
DM-H2660NEX,DMH-2660NEX
DM-HC5500NEX,DMH-C5500NEX
DM-HW4660NEX,DMH-W4660NEX
DM-HWT7600NEX,DMH-WT7600NEX
AV-HW4500NEX,AVH-W4500NEX
DM-H341EX,DMH-341EX
DM-HWT86NEX,DMH-WT86NEX
DM-HT450EX,DMH-T450EX
DM-HWT3800NEX,DMH-WT3800NEX
TSA-652C,TSA-652C
TSA652F,TSA-652F
TSA-692F,TSA-692F
TS-D65C,TSD-65C
TS-D65F,TSD-65F
TS-Z65CH,TSZ-65CH
TS-Z65F,TSZ-65F
TS-A6960F,TSA-6960F
TS-D12D4,TSD-12D4
TS-Z10LS4,TSZ-10LS4
