name,delOPC,recOPC
GOOSE CREEK,,139000
ENGADINE,18071,
OTISVILLE,401400,
EMERSON,715368,2344593
PELLSTON,1300,
DUCK CREEK,29200,
BELLE RIVER MILLS,280000,295000
CAPAC,817000,817000
SAGOLA,50000,
ST IGNACE,18071,
BAUMAN,36141,
BIRCH RUN,58000,
MUTTONVILLE,1091000,1091000
DEWARD,1100000,1248000
TRUMBLE ROAD,140000,
MIDLAND,183500,
CHINA,99300,
RANGE LINE ROAD,4600,
MARENISCO,3200,
CLEARBROOK,2700,
FORTUNE LAKE,944593,
BLACKBERRY,904,
NORTH MASON ROAD,26086,
WATERSMEET,3514,
RATTLERUN,800000,800000
SAULT STE MARIE MICHCON,61800,
FLOODWOOD,1400,
WAKEFIELD,83000,83000
MANISTIQUE,7002,
GRAND RAPIDS,13000,
RICHFIELD,,29420
RUDYARD,27600,
RAPID RIVER,132000,
DULUTH,36000,
IRONWOOD,27500,
CLOQUET,59100,
MAYFIELD,7400,
SOUTH CHESTER,551000,551000
ALLENTON,72800,
WILDERNESS,,54300
SOLWAY,6078,
MACKINAW,66000,
ALPINE,124000,
ASHLAND,30100,
LAMMERS,24000,
GAYLORD,63860,
SAULT STE MARIE,317000,
CARLTON,720243,
ARNOLD ROAD,170000,
CLOW,388992,258315
THIEF RIVER FALLS,29700,
WHEELER BASE DAIRY,,1987
FARWELL,1224000,1224000
COHASSET,1600,
LITTLE BASS,28800,
PETOSKEY,71000,
CHIPPEWA,280000,
ST CLAIR,1909440,1200000
CASS LAKE,1410,
SUPERIOR,88740,
DEER RIVER,1600,
BEMIDJI,30300,
